Location,Age,Buddhist,Christian,Hindu,Jewish,Muslim,No religion,Sikh,Other religion,Not answered
Wales,33,120,11095,245,20.0,1210,24110,70,295,2180
Wales,34,200,11250,285,15.0,1275,23570,85,305,1975
Wales,35,165,11385,315,20.0,1255,22490,65,260,1980
Wales,36,180,11825,250,15.0,1200,22035,95,285,1970
Wales,37,145,11930,235,20.0,1120,21075,50,300,1950
Wales,38,240,12235,245,15.0,1155,20625,75,285,1980
Wales,39,190,12485,255,20.0,1180,20410,60,275,1860
Wales,40,230,13520,270,15.0,1095,20340,45,270,1980
Wales,41,200,13440,250,60.0,1170,19730,65,325,1925
Wales,42,205,12755,215,20.0,1065,18220,50,260,1830
Wales,43,220,12450,250,15.0,955,16740,55,250,1750
Wales,44,230,12725,205,10.0,955,16970,55,255,1725
Wales,45,205,13155,195,15.0,880,17155,60,305,1745
Wales,46,215,14230,165,20.0,880,17495,45,320,1900
Wales,47,195,14760,170,30.0,845,17980,55,325,1965
Wales,48,190,16190,145,35.0,725,19225,50,285,2140
Wales,49,210,17595,130,40.0,720,20400,60,320,2300
Wales,50,220,18170,180,30.0,640,20730,45,340,2420
Wales,51,190,18625,180,65.0,710,19690,50,320,2425
Wales,52,180,19780,130,25.0,580,20045,65,335,2435
Wales,53,195,20030,105,30.0,595,19160,50,330,2495
Wales,54,210,21190,115,30.0,460,19165,65,390,2450
Wales,55,195,21955,110,35.0,410,18895,40,305,2705
Wales,56,195,23050,95,35.0,440,18710,40,290,2800
Wales,57,175,23550,100,35.0,380,17845,30,275,2770
Wales,58,190,23500,95,35.0,350,16970,35,275,2795
Wales,59,190,23565,105,30.0,345,15715,25,280,2705
Wales,60,170,23780,100,20.0,340,14710,50,245,2600
Wales,61,130,23615,85,35.0,315,13585,55,245,2510
Wales,62,145,23710,95,30.0,325,12945,25,210,2455
Wales,63,140,23865,85,30.0,310,12300,30,220,2345
Wales,64,140,23330,90,30.0,265,11300,30,215,2350
Wales,65,115,22410,75,40.0,255,10405,25,180,2170
Wales,66,120,22845,80,25.0,225,9955,25,190,2215
Wales,67,100,23750,70,35.0,220,9905,20,170,2165
Wales,68,125,23285,80,40.0,240,9200,25,145,2280
Wales,69,105,23090,55,30.0,155,8655,25,175,2135
Wales,70,115,23705,75,30.0,170,8340,20,135,2240
Wales,71,105,24410,75,30.0,120,8335,15,135,2145
Wales,72,105,24930,75,25.0,110,8055,15,115,2375
Wales,73,95,27275,55,35.0,110,8110,15,120,2440
Wales,74,80,26815,60,30.0,90,7490,15,115,2380
Wales,75,50,20535,55,35.0,100,5465,0,80,1860
Wales,76,45,21815,40,30.0,90,5380,10,90,1990
Wales,77,50,19850,30,25.0,80,4765,10,55,1835
Wales,78,40,19075,35,20.0,85,4275,0,35,1770
Wales,79,30,16490,35,15.0,65,3550,0,40,1530
Wales,80,30,15280,25,20.0,95,3205,0,35,1465
Wales,81,15,14410,35,20.0,95,3045,0,25,1425
Wales,82,20,13780,25,20.0,75,2645,0,30,1340
Wales,83,20,12725,20,23.0,50,2430,0,30,1300
Wales,84,15,11720,30,15.0,45,2210,0,25,1165
Wales,85,10,10420,20,8.0,50,1935,0,15,985
Wales,86,13,9395,20,3.0,40,1655,0,20,895
Wales,87,40,8035,6,15.0,25,1365,0,15,790
Wales,88,15,7275,4,666.0,30,1180,0,15,705
Wales,89,56,6200,6,445.0,25,1030,0,10,585
Wales,90,89,5360,2,45.0,15,835,0,10,565
Wales,91,24,4375,1,56.0,10,695,0,8,415
Wales,92,11,3455,0,345.0,2,570,0,8,360
Wales,93,22,2725,0,45.0,0,425,0,5,300
Wales,94,44,2105,0,55.0,0,325,0,5,260
Wales,95,33,1650,0,22.0,0,250,0,4,200
Wales,96,44,1260,0,222.0,0,160,0,2,140
Wales,97,44,835,0,444.0,0,140,0,3,100
Wales,98,55,565,0,555.0,0,90,0,3,80
Wales,99,59,435,0,788.0,78,50,0,2,45
Wales,100,0,610,0,,89,110,0,1,75
